"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"1","NJ",1,"Princeton University","$45,320 ","5,402","Princeton","08544-0070","www.princeton.edu",40.348732,-74.659365,"0.0652","Private nonprofit","Suburb","1493",61860,0,0,1,0,0,1,1,1,1,1,0,1,"$45,320 ","5,402",93200,261.2,20,56.82
"2","MA",2,"Harvard University","$47,074 ","6,699","Cambridge","02138","www.harvard.edu",42.374471,-71.118313,"0.054","Private nonprofit","City","1506",64400,0,1,0,1,0,2,2,1,1,2,0,2,"$47,074 ","6,699",112800,391.4,16,57.42
"3","IL",3,"University of Chicago","$52,491 ","5,844","Chicago","60637","WWW.UCHICAGO.EDU",41.787994,-87.599539,"0.0794","Private nonprofit","City","1508",70100,0,1,0,1,0,0,1,1,1,1,0,1,"$52,491 ","5,844",81700,370,25,52.6
"4","CT",4,"Yale University","$49,480 ","5,532","New Haven","06520","www.yale.edu",41.311158,-72.926688,"0.0632","Private nonprofit","City","1502",66445,0,1,1,1,0,1,1,1,1,1,0,1,"$49,480 ","5,532",100500,236.9,17,57.04
"5","CA",5,"Stanford University","$47,940 ","6,999","Stanford","94305","www.stanford.edu/",37.429434,-122.167359,"0.0481","Private nonprofit","Suburb","1476",64477,0,0,0,1,0,1,1,1,1,1,0,1,"$47,940 ","6,999",122100,396.1,10,59.96
"6","MA",6,"Massachusetts Institute of Technology","$48,452 ","4,527","Cambridge","02139-4307","web.mit.edu/",42.360095,-71.092115,"0.0794","Private nonprofit","City","1519",63250,0,0,1,1,0,1,1,1,0,1,1,1,"$48,452 ","4,527",126500,391.4,16,57.42
"7","NC",7,"Duke University","$51,265 ","6,639","Durham","27708","WWW.DUKE.EDU",36.001135,-78.937624,"0.1083","Private nonprofit","City","1460",67005,0,1,0,1,1,1,1,1,1,1,0,1,"$51,265 ","6,639",98300,329.5,30,52.16
"8","PA",8,"University of Pennsylvania","$51,464 ","9,726","Philadelphia","19104-6303","www.upenn.edu",39.950929,-75.19391,"0.0944","Private nonprofit","City","1481",66800,0,1,1,1,0,1,1,1,1,1,1,1,"$51,464 ","9,726",106900,314.1,34,49.98
"9","MD",9,"Johns Hopkins University","$50,410 ","6,524","Baltimore","21218-2688","www.jhu.edu",39.328977,-76.621595,"0.1284","Private nonprofit","City","1476",65473,0,1,0,2,1,2,1,1,1,1,2,1,"$50,410 ","6,524",73700,446.1,23,55.14
"10","NH",10,"Dartmouth College","$51,438 ","4,307","Hanover","03755-3529","www.dartmouth.edu",43.704115,-72.289949,"0.1059","Private nonprofit","Town","1441",67044,0,1,0,1,0,1,1,1,1,1,0,1,"$51,438 ","4,307",85300,196.1,11,59.5
"11","CA",11,"California Institute of Technology","$47,577 ","1,001","Pasadena","91125","www.caltech.edu",34.137349,-118.125878,"0.0807","Private nonprofit","City","1555",63471,0,0,0,1,0,1,1,1,0,1,1,1,"$47,577 ","1,001",80500,396.1,10,59.96
"12","IL",12,"Northwestern University","$50,855 ","8,314","Evanston","60208","www.northwestern.edu",42.050356,-87.679858,"0.1066","Private nonprofit","City","1470",67887,0,1,1,1,1,1,1,1,1,1,1,1,"$50,855 ","8,314",73500,370,25,52.6
"13","RI",13,"Brown University","$51,367 ","6,652","Providence","02912","www.brown.edu",41.82617,-71.40385,"0.0931","Private nonprofit","City","1459",65380,0,1,0,1,1,1,1,1,1,1,1,1,"$51,367 ","6,652",68500,219.2,27,52.37
"14","NY",14,"Cornell University","$50,953 ","14,315","Ithaca","14853","www.cornell.edu",42.4472,-76.483084,"0.1409","Private nonprofit","City","1436",65464,1,1,1,1,1,1,1,1,1,1,1,1,"$50,953 ","14,315",81200,381.8,26,52.54
