"","State","Rank","Name","Tuition.and.fees.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn","CrimeRate","HappyRank","HappyScore"
"1","NJ",1,"Princeton University","$45,320 ","Princeton","08544-0070","www.princeton.edu",40.348732,-74.659365,"0.0652","Private nonprofit","Suburb","1493",61860,0,0,1,0,0,1,1,1,1,1,0,1,"$45,320 ","93200",261.2,20,56.82
"2","MA",2,"Harvard University","$47,074 ","Cambridge","02138","www.harvard.edu",42.374471,-71.118313,"0.054","Private nonprofit","City","1506",64400,0,1,0,1,0,2,2,1,1,2,0,2,"$47,074 ","112800",391.4,16,57.42
"3","IL",3,"University of Chicago","$52,491 ","Chicago","60637","WWW.UCHICAGO.EDU",41.787994,-87.599539,"0.0794","Private nonprofit","City","1508",70100,0,1,0,1,0,0,1,1,1,1,0,1,"$52,491 ","81700",370,25,52.6
"4","CT",4,"Yale University","$49,480 ","New Haven","06520","www.yale.edu",41.311158,-72.926688,"0.0632","Private nonprofit","City","1502",66445,0,1,1,1,0,1,1,1,1,1,0,1,"$49,480 ","100500",236.9,17,57.04
"5","CA",5,"Stanford University","$47,940 ","Stanford","94305","www.stanford.edu/",37.429434,-122.167359,"0.0481","Private nonprofit","Suburb","1476",64477,0,0,0,1,0,1,1,1,1,1,0,1,"$47,940 ","122100",396.1,10,59.96
"6","NY",6,"Columbia University in the City of New York","$55,056 ","New York","10027","www.columbia.edu",40.808286,-73.961885,"0.0683","Private nonprofit","City","1496",69021,0,1,1,1,1,1,1,1,1,1,1,1,"$55,056 ","92100",381.8,26,52.54
"7","MA",7,"Massachusetts Institute of Technology","$48,452 ","Cambridge","02139-4307","web.mit.edu/",42.360095,-71.092115,"0.0794","Private nonprofit","City","1519",63250,0,0,1,1,0,1,1,1,0,1,1,1,"$48,452 ","126500",391.4,16,57.42
"8","NC",8,"Duke University","$51,265 ","Durham","27708","WWW.DUKE.EDU",36.001135,-78.937624,"0.1083","Private nonprofit","City","1460",67005,0,1,0,1,1,1,1,1,1,1,0,1,"$51,265 ","98300",329.5,30,52.16
"9","PA",9,"University of Pennsylvania","$51,464 ","Philadelphia","19104-6303","www.upenn.edu",39.950929,-75.19391,"0.0944","Private nonprofit","City","1481",66800,0,1,1,1,0,1,1,1,1,1,1,1,"$51,464 ","106900",314.1,34,49.98
"10","MD",10,"Johns Hopkins University","$50,410 ","Baltimore","21218-2688","www.jhu.edu",39.328977,-76.621595,"0.1284","Private nonprofit","City","1476",65473,0,1,0,2,1,2,1,1,1,1,2,1,"$50,410 ","73700",446.1,23,55.14
"11","NH",11,"Dartmouth College","$51,438 ","Hanover","03755-3529","www.dartmouth.edu",43.704115,-72.289949,"0.1059","Private nonprofit","Town","1441",67044,0,1,0,1,0,1,1,1,1,1,0,1,"$51,438 ","85300",196.1,11,59.5
"12","CA",12,"California Institute of Technology","$47,577 ","Pasadena","91125","www.caltech.edu",34.137349,-118.125878,"0.0807","Private nonprofit","City","1555",63471,0,0,0,1,0,1,1,1,0,1,1,1,"$47,577 ","80500",396.1,10,59.96
"13","IL",13,"Northwestern University","$50,855 ","Evanston","60208","www.northwestern.edu",42.050356,-87.679858,"0.1066","Private nonprofit","City","1470",67887,0,1,1,1,1,1,1,1,1,1,1,1,"$50,855 ","73500",370,25,52.6
"14","RI",14,"Brown University","$51,367 ","Providence","02912","www.brown.edu",41.82617,-71.40385,"0.0931","Private nonprofit","City","1459",65380,0,1,0,1,1,1,1,1,1,1,1,1,"$51,367 ","68500",219.2,27,52.37
"15","NY",15,"Cornell University","$50,953 ","Ithaca","14853","www.cornell.edu",42.4472,-76.483084,"0.1409","Private nonprofit","City","1436",65464,1,1,1,1,1,1,1,1,1,1,1,1,"$50,953 ","81200",381.8,26,52.54
"16","TX",16,"Rice University","$43,918 ","Houston","77005-1827","www.rice.edu",29.717897,-95.402035,"0.1527","Private nonprofit","City","1490",58253,0,1,1,1,0,1,1,1,1,1,1,1,"$43,918 ","76800",405.9,29,52.23
"17","IN",17,"University of Notre Dame","$49,685 ","Notre Dame","46556","www.nd.edu",41.703058,-86.238959,"0.1873","Private nonprofit","Suburb","1474",64775,0,1,1,1,1,1,1,1,1,1,1,1,"$49,685 ","78700",365.3,40,45.94
"18","TN",18,"Vanderbilt University","$45,610 ","Nashville","37240","www.vanderbilt.edu",36.14659,-86.803369,"0.1075","Private nonprofit","City","1495",63532,0,0,0,1,1,1,1,1,1,1,0,1,"$45,610 ","69700",608.4,45,39.96
"19","MO",19,"Washington University in St Louis","$49,770 ","Saint Louis","63130-4899","www.wustl.edu",38.647929,-90.310604,"0.1653","Private nonprofit","Suburb","1472",67751,0,1,1,1,1,1,1,1,1,1,1,1,"$49,770 ","68900",442.9,42,44.58
"20","GA",20,"Emory University","$47,954 ","Atlanta","30322","www.emory.edu",33.790183,-84.325512,"0.2529","Private nonprofit","Suburb","1397",63058,0,1,0,1,1,1,1,1,1,1,1,1,"$47,954 ","71800",377.3,37,47.43
"21","DC",21,"Georgetown University","$50,547 ","Washington","20057-0001","www.georgetown.edu",38.908809,-77.073463,"0.1685","Private nonprofit","City","1422",66971,0,0,0,1,0,0,1,1,1,1,1,1,"$50,547 ","99400",1244.4,18,57.01
"22","CA",22,"University of California-Berkeley","$40,191 ","Berkeley","94720","www.berkeley.edu",37.871918,-122.260463,"0.1693","Public","City","1422",34924,0,1,1,1,0,1,1,1,1,1,1,1,"$40,191 ","62500",396.1,10,59.96
"23","CA",23,"University of Southern California","$52,217 ","Los Angeles","90089","www.usc.edu/",34.021281,-118.284169,"0.1662","Private nonprofit","City","1395",67064,0,1,1,1,1,1,1,1,1,1,1,1,"$52,217 ","74300",396.1,10,59.96
"24","PA",24,"Carnegie Mellon University","$52,040 ","Pittsburgh","15213-3890","www.cmu.edu/",40.44357,-79.941993,"0.2171","Private nonprofit","City","1458",65877,0,1,1,1,1,1,1,1,1,1,1,1,"$52,040 ","87400",314.1,34,49.98
"25","CA",25,"University of California-Los Angeles","$39,518 ","Los Angeles","90095-1405","www.ucla.edu/",34.068892,-118.443901,"0.1799","Public","City","1334",33078,0,1,1,1,0,1,1,1,1,1,1,1,"$39,518 ","58800",396.1,10,59.96
"26","VA",26,"The University of Virginia's College at Wise","$45,066 ","Wise","24293-4400","https://www.uvawise.edu/",36.971468,-82.558728,"0.7771","Public","Town","963",21138,0,0,0,1,0,1,0,1,0,1,1,1,"$45,066 ","37400",196.2,21,56.61
"27","MA",27,"Tufts University","$52,430 ","Medford","02155-5555","www.tufts.edu",42.408465,-71.120316,"0.1429","Private nonprofit","Suburb","1445",65814,0,1,1,1,0,1,1,1,1,1,0,1,"$52,430 ","82900",391.4,16,57.42
"28","NC",28,"Wake Forest University","$49,308 ","Winston-Salem","27106","www.wfu.edu",36.133609,-80.277446,"0.3034","Private nonprofit","City","NULL",64442,0,0,0,1,1,1,1,1,1,1,1,1,"$49,308 ","62900",329.5,30,52.16
"29","MI",29,"University of Michigan-Ann Arbor","$43,476 ","Ann Arbor","48109","www.umich.edu",42.275921,-83.742769,"0.2859","Public","City","1386",27725,0,1,1,1,1,1,1,1,1,1,1,1,"$43,476 ","65800",427.3,43,44.17
"30","NC",30,"University of North Carolina at Chapel Hill","$33,916 ","Chapel Hill","27599","www.unc.edu",35.911769,-79.050969,"0.2694","Public","City","1338",24327,0,1,0,1,1,1,1,1,1,1,1,1,"$33,916 ","58200",329.5,30,52.16
"31","MA",31,"Boston College","$51,296 ","Chestnut Hill","02467","www.bc.edu",42.336213,-71.169242,"0.3114","Private nonprofit","City","1378",65595,0,1,0,1,1,0,1,1,1,1,1,1,"$51,296 ","77600",391.4,16,57.42
"32","NY",32,"University of Rochester","$50,142 ","Rochester","14627-0011","www.rochester.edu",43.126397,-77.631202,"0.3553","Private nonprofit","City","NULL",65364,0,1,0,1,1,1,1,1,1,1,1,1,"$50,142 ","61200",381.8,26,52.54
"33","VA",33,"College of William and Mary","$41,718 ","Williamsburg","23187-8795","www.wm.edu",37.269489,-76.708214,"0.3652","Public","Suburb","1360",33630,0,0,0,1,0,0,1,1,1,1,1,1,"$41,718 ","59300",196.2,21,56.61
"34","MA",34,"Brandeis University","$51,570 ","Waltham","02454-9110","www.brandeis.edu/",42.364947,-71.254716,"0.3344","Private nonprofit","City","1377",65954,0,1,0,1,1,0,1,1,1,1,1,1,"$51,570 ","53300",391.4,16,57.42
"35","CA",35,"California Institute of Technology","$32,404 ","Pasadena","91125","www.caltech.edu",34.137349,-118.125878,"0.0807","Private nonprofit","City","1555",63471,0,0,0,1,0,1,1,1,0,1,1,1,"$32,404 ","80500",396.1,10,59.96
"36","NY",36,"New York University","$49,062 ","New York","10012-1091","www.nyu.edu",40.729452,-73.997264,"0.3187","Private nonprofit","City","1371",67637,0,0,0,1,1,2,1,1,1,2,2,1,"$49,062 ","62800",381.8,26,52.54
"37","OH",37,"Case Western Reserve University","$46,006 ","Cleveland","44106","www.case.edu",41.507419,-81.609596,"0.3544","Private nonprofit","City","1408",61371,0,1,1,1,1,1,1,1,1,1,1,1,"$46,006 ","74200",284.9,39,46.04
"38","CA",38,"University of California-Santa Barbara","$40,704 ","Santa Barbara","93106","www.ucsb.edu",34.416297,-119.846426,"0.3577","Public","Suburb","1281",34998,0,1,0,1,0,1,1,1,1,1,1,1,"$40,704 ","49600",396.1,10,59.96
"39","MA",39,"Boston University","$50,240 ","Boston","02215","www.bu.edu",42.351118,-71.107942,"0.2943","Private nonprofit","City","1328",65809,0,0,1,1,1,1,1,1,1,1,1,1,"$50,240 ","59800",391.4,16,57.42
"40","MA",40,"Northeastern University","$47,655 ","Boston","02115-5005","www.northeastern.edu",42.339992,-71.088782,"0.2888","Private nonprofit","City","1434",62789,0,1,1,1,0,1,1,1,1,1,1,1,"$47,655 ","61900",391.4,16,57.42
"41","NY",41,"Rensselaer Polytechnic Institute","$50,797 ","Troy","12180-3590","www.rpi.edu",42.729978,-73.676646,"0.4435","Private nonprofit","City","1365",66172,0,1,1,1,0,1,1,1,1,1,1,0,"$50,797 ","71400",381.8,26,52.54
