Name,Rank,Tuition and fees
Alabama A & M University,NA,NA
University of Alabama at Birmingham,98,"$26,950 "
University of Alabama at Birmingham,151,"$17,654 "
Amridge University,NA,NA
University of Alabama in Huntsville,188,"$20,622 "
Alabama State University,182,"$42,772 "
The University of Alabama,NA,NA
Central Alabama Community College,NA,NA
Athens State University,180,"$18,376 "
Auburn University at Montgomery,NA,NA
Auburn University,93,"$28,840 "
Birmingham Southern College,NA,NA
Chattahoochee Valley Community College,NA,NA
Concordia College Alabama,NA,NA
South University-Montgomery,NA,NA
Enterprise State Community College,NA,NA
Coastal Alabama Community College,NA,NA
Faulkner University,NA,NA
Gadsden State Community College,NA,NA
New Beginning College of Cosmetology,NA,NA
George C Wallace Community College-Dothan,NA,NA
George C Wallace State Community College-Hanceville,NA,NA
George C Wallace State Community College-Selma,NA,NA
Herzing University-Birmingham,NA,NA
Huntingdon College,NA,NA
Heritage Christian University,NA,NA
J. F. Drake State Community and Technical College,NA,NA
J F Ingram State Technical College,NA,NA
Jacksonville State University,NA,NA
Jefferson Davis Community College,NA,NA
Jefferson State Community College,NA,NA
John C Calhoun State Community College,NA,NA
Judson College,NA,NA
Lawson State Community College-Birmingham Campus,NA,NA
University of West Alabama,NA,NA
Lurleen B Wallace Community College,NA,NA
Marion Military Institute,NA,NA
Miles College,NA,NA
University of Mobile,NA,NA
University of Montevallo,208,"$24,562 "
Northwest-Shoals Community College,NA,NA
University of North Alabama,NA,NA
Northeast Alabama Community College,NA,NA
Oakwood University,NA,NA
Alabama Southern Community College,NA,NA
Prince Institute-Southeast,NA,NA
Reid State Technical College,NA,NA
Bishop State Community College,NA,NA
Samford University,NA,NA
Selma University,NA,NA
Shelton State Community College,NA,NA
Snead State Community College,NA,NA
University of South Alabama,NA,NA
Spring Hill College,NA,NA
Southeastern Bible College,NA,NA
Stillman College,NA,NA
Talladega College,NA,NA
H Councill Trenholm State Community College,NA,NA
Troy University,NA,NA
Tuskegee University,NA,NA
United States Sports Academy,NA,NA
Bevill State Community College,NA,NA
University of Alaska Anchorage,NA,NA
Alaska Bible College,NA,NA
University of Alaska Fairbanks,197,"$22,469 "
University of Alaska Southeast,NA,NA
Alaska Pacific University,NA,NA
AVTEC-Alaska's Institute of Technology,NA,NA
Charter College,NA,NA
Alaska Career College,NA,NA
Empire Beauty School-Tucson,NA,NA
